frame,track_id,class_id,class_name,conf_raw,conf_smooth,x1,y1,x2,y2,recovered
1,,,,,,,,,,False
2,,,,,,,,,,False
3,1,0,polyp,0.5111,0.5111,39.8,36.4,150.6,176.2,False
4,1,0,polyp,0.5111,0.5111,39.8,36.4,150.6,176.2,False
5,1,0,polyp,0.5509,0.5244,60.5,38.6,159.4,169.5,False
6,1,0,polyp,0.5276,0.5252,66.1,38.7,159.8,166.7,False
7,1,0,polyp,0.5276,0.5257,73.2,40.6,162.2,162.3,False
8,1,0,polyp,0.7024,0.5639,70.6,33.9,172.1,167.2,False
9,1,0,polyp,0.7024,0.6022,75.4,33.2,176.2,165.6,False
10,1,0,polyp,0.7624,0.6445,71.4,26.8,183.3,169.7,False
11,1,0,polyp,0.6710,0.6732,73.0,25.0,189.4,170.7,False
12,1,0,polyp,0.5802,0.6837,72.7,24.8,187.2,170.3,False
13,1,0,polyp,0.5802,0.6592,75.1,23.2,190.8,170.1,False
14,1,0,polyp,0.5802,0.6348,77.6,21.5,194.4,169.9,False
15,1,0,polyp,0.5802,0.5984,80.1,19.9,198.0,169.8,False
16,1,0,polyp,0.6471,0.5936,92.5,67.7,192.8,171.3,False
17,1,0,polyp,0.6471,0.6070,96.6,70.5,195.0,172.1,False
18,1,0,polyp,0.6481,0.6206,99.8,39.2,200.7,153.6,False
19,1,0,polyp,0.6481,0.6341,103.6,38.9,203.4,152.1,False
20,1,0,polyp,0.6481,0.6477,107.3,38.6,206.1,150.6,False
21,1,0,polyp,0.6481,0.6479,111.1,38.3,208.8,149.2,False
22,1,0,polyp,0.5184,0.5183,111.1,38.3,208.8,149.2,True
23,1,0,polyp,0.4148,0.4146,111.1,38.3,208.8,149.2,True
24,1,0,polyp,0.3318,0.3317,111.1,38.3,208.8,149.2,True
25,,,,,,,,,,False
26,,,,,,,,,,False
27,,,,,,,,,,False
28,,,,,,,,,,False
29,2,0,polyp,0.6477,0.6477,94.1,22.3,207.1,171.4,False
30,2,0,polyp,0.8595,0.7536,93.1,23.9,209.0,172.9,False
31,2,0,polyp,0.8595,0.7889,92.8,24.5,210.2,175.4,False
32,2,0,polyp,0.7558,0.7806,87.7,18.4,210.2,175.4,False
33,2,0,polyp,0.7802,0.7805,85.8,19.4,209.4,177.4,False
34,2,0,polyp,0.6922,0.7894,85.4,18.1,210.4,178.8,False
35,2,0,polyp,0.9104,0.7996,83.5,17.5,210.2,180.5,False
36,2,0,polyp,0.9366,0.8150,77.0,18.3,207.6,182.5,False
