frame,track_id,class_id,class_name,conf_raw,conf_smooth,x1,y1,x2,y2,recovered
1,1,0,polyp,0.5300,0.5300,133.7,54.3,231.4,154.7,False
2,1,0,polyp,0.9453,0.7376,131.6,51.6,234.4,155.2,False
3,1,0,polyp,0.9409,0.8054,132.4,50.3,235.6,153.5,False
4,1,0,polyp,0.9207,0.8342,133.2,49.3,238.3,153.9,False
5,1,0,polyp,0.9018,0.8477,131.3,47.7,240.3,154.7,False
6,1,0,polyp,0.9346,0.9287,130.3,46.3,241.6,155.1,False
7,1,0,polyp,0.9346,0.9265,130.0,44.6,243.3,155.5,False
8,1,0,polyp,0.9108,0.9205,132.1,38.6,249.1,150.4,False
9,1,0,polyp,0.8816,0.9127,131.4,34.0,251.7,147.4,False
10,1,0,polyp,0.8519,0.9027,130.2,32.9,252.1,148.4,False
11,1,0,polyp,0.9496,0.9057,129.8,33.8,254.2,150.7,False
12,1,0,polyp,0.9354,0.9059,128.7,33.2,255.2,151.4,False
13,1,0,polyp,0.9256,0.9088,128.9,33.0,256.4,152.4,False
14,1,0,polyp,0.9462,0.9217,126.7,31.0,257.5,152.4,False
15,1,0,polyp,0.9499,0.9413,123.9,30.4,254.8,153.2,False
16,1,0,polyp,0.9155,0.9345,122.4,29.3,254.9,153.8,False
17,1,0,polyp,0.9358,0.9346,118.9,30.6,255.6,157.9,False
18,1,0,polyp,0.9224,0.9340,118.3,31.0,258.1,160.4,False
19,1,0,polyp,0.8314,0.9110,114.1,28.8,255.3,161.3,False
20,1,0,polyp,0.8871,0.8985,113.0,28.5,257.4,163.7,False
21,1,0,polyp,0.9049,0.8963,112.3,27.0,258.8,164.1,False
22,1,0,polyp,0.8726,0.8837,111.5,30.0,260.1,168.0,False
23,1,0,polyp,0.8891,0.8770,110.9,31.0,261.1,169.6,False
24,1,0,polyp,0.9228,0.8953,106.6,32.1,257.1,170.8,False
25,1,0,polyp,0.7853,0.8749,108.0,31.5,259.8,170.9,False
26,1,0,polyp,0.8489,0.8637,109.5,31.3,261.6,171.1,False
27,1,0,polyp,0.8808,0.8654,109.3,30.2,260.3,171.2,False
28,1,0,polyp,0.8920,0.8660,109.5,28.1,259.6,168.4,False
29,1,0,polyp,0.8906,0.8595,109.8,27.7,259.3,167.8,False
30,1,0,polyp,0.9169,0.8858,110.4,28.2,259.5,167.9,False
31,1,0,polyp,0.8879,0.8936,112.0,27.5,262.6,167.4,False
32,1,0,polyp,0.9138,0.9002,111.3,25.5,262.0,166.0,False
33,1,0,polyp,0.9052,0.9029,113.3,25.9,264.8,165.8,False
34,1,0,polyp,0.8646,0.8977,112.6,25.8,262.6,166.2,False
35,1,0,polyp,0.8909,0.8925,113.1,26.1,264.8,166.3,False
36,1,0,polyp,0.9316,0.9012,114.2,25.4,267.2,164.8,False
37,1,0,polyp,0.7718,0.8728,114.3,23.7,268.0,163.4,False
38,1,0,polyp,0.8510,0.8620,114.6,23.7,269.3,163.6,False
39,1,0,polyp,0.9209,0.8732,113.3,27.2,267.9,166.8,False
