frame,track_id,class_id,class_name,conf_raw,conf_smooth,x1,y1,x2,y2,recovered
1,,,,,,,,,,False
2,,,,,,,,,,False
3,,,,,,,,,,False
4,1,0,polyp,0.5353,0.5353,145.0,61.3,240.0,152.4,False
5,1,0,polyp,0.5353,0.5353,145.0,61.3,240.0,152.4,False
6,1,0,polyp,0.5353,0.5353,145.0,61.3,240.0,152.4,False
7,1,0,polyp,0.5353,0.5353,145.0,61.3,240.0,152.4,False
8,1,0,polyp,0.4283,0.4283,145.0,61.3,240.0,152.4,True
9,1,0,polyp,0.3426,0.3426,145.0,61.3,240.0,152.4,True
10,1,0,polyp,0.2741,0.2741,145.0,61.3,240.0,152.4,True
11,,,,,,,,,,False
12,,,,,,,,,,False
13,,,,,,,,,,False
14,,,,,,,,,,False
15,,,,,,,,,,False
16,,,,,,,,,,False
17,,,,,,,,,,False
18,,,,,,,,,,False
19,,,,,,,,,,False
20,,,,,,,,,,False
21,,,,,,,,,,False
22,,,,,,,,,,False
23,2,0,polyp,0.6069,0.6069,202.0,7.6,326.3,137.3,False
24,2,0,polyp,0.5743,0.5906,205.3,9.8,325.1,130.8,False
25,2,0,polyp,0.5743,0.5851,209.8,11.2,322.7,125.2,False
26,2,0,polyp,0.5743,0.5824,214.6,12.7,320.1,119.4,False
27,2,0,polyp,0.5743,0.5808,219.6,14.6,317.2,113.2,False
28,2,0,polyp,0.4594,0.4646,219.6,14.6,317.2,113.2,True
29,2,0,polyp,0.3675,0.3717,219.6,14.6,317.2,113.2,True
30,2,0,polyp,0.2940,0.2974,219.6,14.6,317.2,113.2,True
31,,,,,,,,,,False
32,,,,,,,,,,False
33,,,,,,,,,,False
34,,,,,,,,,,False
35,,,,,,,,,,False
36,,,,,,,,,,False
37,,,,,,,,,,False
38,,,,,,,,,,False
39,,,,,,,,,,False
40,,,,,,,,,,False
41,,,,,,,,,,False
42,,,,,,,,,,False
43,,,,,,,,,,False
44,,,,,,,,,,False
45,,,,,,,,,,False
46,,,,,,,,,,False
47,3,0,polyp,0.6936,0.6936,191.1,66.1,326.8,201.7,False
48,3,0,polyp,0.8263,0.7600,187.8,74.0,324.5,206.7,False
49,3,0,polyp,0.8925,0.8041,188.8,74.1,324.7,205.8,False
50,3,0,polyp,0.8707,0.8208,190.5,74.2,326.4,206.2,False
51,3,0,polyp,0.8812,0.8329,190.9,74.5,325.9,206.4,False
52,3,0,polyp,0.8781,0.8698,191.2,75.2,325.9,207.1,False
