frame,track_id,class_id,class_name,conf_raw,conf_smooth,x1,y1,x2,y2,recovered
1,1,0,polyp,0.7985,0.7985,147.8,90.8,286.9,182.2,False
2,1,0,polyp,0.8354,0.8170,148.2,91.1,286.4,181.1,False
3,1,0,polyp,0.8329,0.8223,148.1,90.7,286.3,180.5,False
4,1,0,polyp,0.8435,0.8276,148.1,90.8,286.7,180.7,False
5,1,0,polyp,0.8617,0.8344,148.2,90.9,286.1,180.3,False
6,1,0,polyp,0.8757,0.8498,147.9,91.1,284.2,179.6,False
7,1,0,polyp,0.8486,0.8525,148.0,90.9,283.1,178.7,False
8,1,0,polyp,0.8711,0.8601,147.7,90.5,282.0,178.1,False
9,1,0,polyp,0.8722,0.8659,147.6,90.4,281.5,178.0,False
10,1,0,polyp,0.8591,0.8653,147.2,90.5,280.0,177.8,False
11,1,0,polyp,0.8982,0.8698,147.4,90.3,280.0,177.7,False
12,1,0,polyp,0.8673,0.8736,147.3,90.2,279.7,177.6,False
13,1,0,polyp,0.9067,0.8807,147.1,90.2,278.7,177.4,False
14,1,0,polyp,0.9044,0.8871,147.5,90.4,279.3,177.4,False
15,1,0,polyp,0.8763,0.8906,147.2,91.2,278.8,177.9,False
16,1,0,polyp,0.8830,0.8875,147.5,90.5,278.9,176.8,False
17,1,0,polyp,0.8956,0.8932,147.5,90.5,278.9,176.9,False
18,1,0,polyp,0.8986,0.8916,147.6,90.5,279.0,177.1,False
19,1,0,polyp,0.8696,0.8846,147.1,91.1,277.6,177.6,False
20,1,0,polyp,0.9098,0.8913,147.3,91.2,277.9,178.1,False
21,1,0,polyp,0.8975,0.8942,146.9,91.0,277.3,177.7,False
22,1,0,polyp,0.8935,0.8938,146.6,90.7,276.6,177.5,False
23,1,0,polyp,0.8954,0.8932,147.4,90.0,277.5,176.7,False
24,1,0,polyp,0.9036,0.9000,147.3,89.9,277.6,176.4,False
25,1,0,polyp,0.8467,0.8873,147.2,90.6,276.9,176.9,False
26,1,0,polyp,0.9118,0.8902,147.4,90.3,277.3,176.2,False
27,1,0,polyp,0.9140,0.8943,147.5,90.2,277.3,175.7,False
28,1,0,polyp,0.8971,0.8947,147.5,90.0,276.9,175.0,False
29,1,0,polyp,0.8949,0.8929,147.4,90.2,276.7,175.2,False
30,1,0,polyp,0.9089,0.9054,147.0,89.9,275.9,174.5,False
31,1,0,polyp,0.8399,0.8910,146.9,89.3,276.1,174.3,False
32,1,0,polyp,0.8584,0.8799,146.1,89.1,275.1,174.2,False
33,1,0,polyp,0.9058,0.8816,145.8,89.1,274.6,174.0,False
34,1,0,polyp,0.8965,0.8819,145.3,89.4,273.8,174.0,False
35,1,0,polyp,0.9034,0.8808,144.9,89.7,273.1,173.9,False
36,1,0,polyp,0.8773,0.8883,144.8,89.8,272.8,173.8,False
37,1,0,polyp,0.9111,0.8988,144.7,90.0,272.3,173.6,False
38,1,0,polyp,0.8917,0.8960,144.5,89.9,271.7,173.5,False
39,1,0,polyp,0.8857,0.8938,144.3,90.0,270.5,173.2,False
40,1,0,polyp,0.9157,0.8963,144.7,89.9,270.9,173.1,False
41,1,0,polyp,0.8841,0.8977,144.9,90.4,271.2,173.5,False
42,1,0,polyp,0.8791,0.8913,145.0,90.9,271.2,173.6,False
43,1,0,polyp,0.8985,0.8926,145.0,90.9,271.2,173.3,False
44,1,0,polyp,0.9005,0.8956,144.7,90.7,270.6,173.1,False
45,1,0,polyp,0.9076,0.8940,144.8,90.4,270.4,172.8,False
46,1,0,polyp,0.9174,0.9006,145.0,90.1,270.5,172.1,False
47,1,0,polyp,0.8998,0.9048,145.1,90.0,270.2,171.9,False
48,1,0,polyp,0.9166,0.9084,144.6,89.9,269.3,171.7,False
49,1,0,polyp,0.8859,0.9055,144.4,89.9,269.2,171.6,False
50,1,0,polyp,0.9017,0.9043,143.7,89.6,267.9,171.0,False
51,1,0,polyp,0.9153,0.9039,144.0,89.5,267.6,170.1,False
52,1,0,polyp,0.9116,0.9062,144.3,89.6,267.3,169.5,False
53,1,0,polyp,0.8998,0.9029,144.8,89.9,267.3,169.2,False
54,1,0,polyp,0.8807,0.9018,145.4,89.8,267.5,168.8,False
55,1,0,polyp,0.8936,0.9002,145.1,89.5,266.8,168.6,False
56,1,0,polyp,0.8734,0.8918,145.3,89.5,267.1,168.4,False
57,1,0,polyp,0.9066,0.8908,145.6,89.2,267.6,168.1,False
58,1,0,polyp,0.9170,0.8943,146.0,89.3,268.0,168.0,False
59,1,0,polyp,0.8940,0.8969,149.1,90.1,271.8,168.6,False
60,1,0,polyp,0.8940,0.8970,149.6,90.1,271.9,168.4,False
61,1,0,polyp,0.8940,0.9011,150.0,90.1,272.0,168.2,False
62,1,0,polyp,0.8940,0.8986,150.4,90.1,272.1,168.0,False
63,1,0,polyp,0.7152,0.7189,150.4,90.1,272.1,168.0,True
64,1,0,polyp,0.5722,0.5751,150.4,90.1,272.1,168.0,True
65,1,0,polyp,0.4577,0.4601,150.4,90.1,272.1,168.0,True
66,,,,,,,,,,False
67,,,,,,,,,,False
68,,,,,,,,,,False
69,,,,,,,,,,False
70,,,,,,,,,,False
71,,,,,,,,,,False
