frame,track_id,class_id,class_name,conf_raw,conf_smooth,x1,y1,x2,y2,recovered
1,,,,,,,,,,False
2,1,0,polyp,0.9453,0.9453,133.1,52.4,232.8,154.8,False
3,1,0,polyp,0.9409,0.9431,134.1,51.2,233.6,153.3,False
4,1,0,polyp,0.9207,0.9356,134.9,49.9,236.0,153.5,False
5,1,0,polyp,0.9018,0.9272,133.9,48.4,237.5,154.2,False
6,1,0,polyp,0.9346,0.9287,132.9,46.8,238.9,154.7,False
7,1,0,polyp,0.7476,0.7429,132.9,46.8,238.9,154.7,True
8,1,0,polyp,0.9108,0.9218,136.2,39.9,244.7,149.5,False
9,1,0,polyp,0.8816,0.9099,135.8,35.0,247.2,146.6,False
10,1,0,polyp,0.8519,0.8961,133.5,33.2,248.7,148.3,False
11,1,0,polyp,0.9496,0.9057,133.6,34.3,250.3,150.2,False
12,1,0,polyp,0.9354,0.9059,132.5,33.7,251.3,150.9,False
13,1,0,polyp,0.9256,0.9088,132.3,33.4,252.9,151.9,False
14,1,0,polyp,0.9462,0.9217,130.0,31.3,254.1,152.2,False
15,1,0,polyp,0.9499,0.9413,126.4,30.5,252.3,153.2,False
16,1,0,polyp,0.9155,0.9345,124.7,29.4,252.6,153.7,False
17,1,0,polyp,0.9358,0.9346,121.0,30.2,253.6,158.3,False
18,1,0,polyp,0.9224,0.9340,120.6,30.8,255.8,160.7,False
19,1,0,polyp,0.8314,0.9110,114.8,27.9,254.6,162.3,False
20,1,0,polyp,0.8871,0.8985,113.8,27.6,256.6,164.6,False
21,1,0,polyp,0.9049,0.8963,113.5,26.7,257.6,164.5,False
22,1,0,polyp,0.8726,0.8837,113.6,30.3,257.9,167.6,False
23,1,0,polyp,0.8891,0.8770,113.6,31.7,258.3,168.9,False
24,1,0,polyp,0.9228,0.8953,109.7,33.3,254.0,169.6,False
25,1,0,polyp,0.7853,0.8749,110.9,32.5,256.9,169.9,False
26,1,0,polyp,0.8489,0.8637,112.2,32.3,259.0,170.2,False
27,1,0,polyp,0.8808,0.8654,110.6,30.8,259.0,170.7,False
28,1,0,polyp,0.8920,0.8660,111.7,29.6,257.5,167.0,False
29,1,0,polyp,0.8906,0.8595,111.7,29.1,257.4,166.3,False
30,1,0,polyp,0.9169,0.8858,112.5,29.7,257.5,166.3,False
31,1,0,polyp,0.8879,0.8936,114.2,28.9,260.4,166.1,False
32,1,0,polyp,0.9138,0.9002,112.8,26.5,260.5,165.0,False
33,1,0,polyp,0.9052,0.9029,115.8,27.4,262.2,164.3,False
34,1,0,polyp,0.8646,0.8977,113.8,26.7,261.4,165.2,False
35,1,0,polyp,0.8909,0.8925,115.2,27.3,262.7,165.1,False
36,1,0,polyp,0.9316,0.9012,117.5,27.1,264.0,163.0,False
37,1,0,polyp,0.7718,0.8728,117.1,24.9,265.3,162.1,False
38,1,0,polyp,0.8510,0.8620,117.2,24.7,266.8,162.6,False
39,1,0,polyp,0.9209,0.8732,116.1,28.4,265.1,165.6,False
40,1,0,polyp,0.9152,0.8781,114.5,30.2,263.3,167.2,False
41,1,0,polyp,0.9230,0.8764,116.2,30.5,263.2,165.1,False
42,1,0,polyp,0.9247,0.9069,115.6,29.1,263.6,164.3,False
43,1,0,polyp,0.8797,0.9127,115.6,29.2,262.7,163.8,False
44,1,0,polyp,0.9341,0.9153,113.8,28.7,260.7,163.4,False
45,1,0,polyp,0.9011,0.9125,112.3,28.2,260.5,163.7,False
46,1,0,polyp,0.6366,0.8552,117.8,27.3,264.3,161.6,False
47,1,0,polyp,0.9172,0.8537,116.1,23.1,261.8,156.5,False
48,1,0,polyp,0.9068,0.8592,116.5,20.7,262.4,153.9,False
49,1,0,polyp,0.8753,0.8474,114.7,17.2,261.6,151.0,False
50,1,0,polyp,0.9054,0.8483,114.6,16.2,261.1,149.2,False
51,1,0,polyp,0.9047,0.9019,111.4,15.0,258.1,147.9,False
52,1,0,polyp,0.6688,0.8522,105.2,12.6,256.4,150.2,False
53,1,0,polyp,0.9281,0.8565,102.5,13.3,250.7,148.2,False
54,1,0,polyp,0.9150,0.8644,99.3,12.1,247.6,147.1,False
55,1,0,polyp,0.7354,0.8304,98.5,12.5,244.2,144.7,False
56,1,0,polyp,0.6513,0.7797,91.2,9.5,236.2,141.5,False
57,1,0,polyp,0.8455,0.8151,83.6,7.5,225.1,136.8,False
58,1,0,polyp,0.6630,0.7620,79.7,6.5,221.3,135.6,False
59,1,0,polyp,0.7535,0.7297,74.0,7.1,217.7,137.9,False
60,1,0,polyp,0.8324,0.7491,69.1,7.6,213.7,139.6,False
61,1,0,polyp,0.7451,0.7679,67.6,14.2,208.3,142.3,False
62,1,0,polyp,0.7736,0.7535,66.4,12.7,208.6,142.0,False
63,1,0,polyp,0.6320,0.7473,63.8,12.2,206.3,141.6,False
64,1,0,polyp,0.5056,0.5979,63.8,12.2,206.3,141.6,True
65,1,0,polyp,0.8595,0.7685,65.9,16.4,202.7,139.5,False
66,1,0,polyp,0.8421,0.7705,67.8,12.8,206.7,137.0,False
67,1,0,polyp,0.5521,0.7319,64.6,8.1,207.9,136.3,False
68,1,0,polyp,0.8449,0.7461,68.3,12.5,206.4,135.0,False
69,1,0,polyp,0.7017,0.7600,72.2,14.8,205.6,131.9,False
