frame,track_id,class_id,class_name,conf_raw,conf_smooth,x1,y1,x2,y2,recovered
1,,,,,,,,,,False
2,1,0,polyp,0.8354,0.8354,149.0,91.3,285.6,181.1,False
3,1,0,polyp,0.8329,0.8341,148.9,90.8,285.5,180.6,False
4,1,0,polyp,0.8435,0.8373,148.9,90.8,285.9,180.8,False
5,1,0,polyp,0.8617,0.8434,149.2,91.0,285.1,180.2,False
6,1,0,polyp,0.8757,0.8498,148.7,91.1,283.5,179.6,False
7,1,0,polyp,0.8486,0.8525,148.8,91.0,282.4,178.6,False
8,1,0,polyp,0.8711,0.8601,147.7,90.3,282.0,178.4,False
9,1,0,polyp,0.8722,0.8659,147.5,90.2,281.7,178.3,False
10,1,0,polyp,0.8591,0.8653,146.6,90.1,280.6,178.2,False
11,1,0,polyp,0.8982,0.8698,146.8,90.0,280.6,178.0,False
12,1,0,polyp,0.8673,0.8736,146.6,89.9,280.4,177.9,False
13,1,0,polyp,0.9067,0.8807,146.5,90.0,279.4,177.6,False
14,1,0,polyp,0.9044,0.8871,147.0,90.2,279.8,177.6,False
15,1,0,polyp,0.8763,0.8906,147.1,91.2,278.9,178.0,False
16,1,0,polyp,0.8830,0.8875,147.7,90.6,278.7,176.7,False
17,1,0,polyp,0.8956,0.8932,147.2,90.2,279.3,177.1,False
18,1,0,polyp,0.8986,0.8916,147.1,90.2,279.5,177.4,False
19,1,0,polyp,0.8696,0.8846,146.3,90.8,278.4,177.9,False
20,1,0,polyp,0.9098,0.8913,146.0,90.7,279.2,178.7,False
21,1,0,polyp,0.8975,0.8942,146.1,90.7,278.1,178.0,False
22,1,0,polyp,0.8935,0.8938,145.6,90.4,277.6,177.8,False
23,1,0,polyp,0.8954,0.8932,146.7,89.8,278.2,176.9,False
24,1,0,polyp,0.9036,0.9000,147.0,89.8,277.9,176.4,False
25,1,0,polyp,0.8467,0.8873,146.8,90.5,277.3,177.0,False
26,1,0,polyp,0.9118,0.8902,147.6,90.4,277.1,176.1,False
27,1,0,polyp,0.9140,0.8943,147.9,90.3,277.0,175.6,False
28,1,0,polyp,0.8971,0.8947,148.1,90.2,276.4,174.8,False
29,1,0,polyp,0.8949,0.8929,147.6,90.2,276.5,175.2,False
30,1,0,polyp,0.9089,0.9054,147.3,89.9,275.6,174.5,False
31,1,0,polyp,0.8399,0.8910,146.6,89.0,276.4,174.6,False
32,1,0,polyp,0.8584,0.8799,145.7,88.8,275.5,174.4,False
33,1,0,polyp,0.9058,0.8816,145.7,89.0,274.8,174.1,False
34,1,0,polyp,0.8965,0.8819,145.5,89.5,273.6,173.9,False
35,1,0,polyp,0.9034,0.8808,145.2,89.8,272.8,173.8,False
36,1,0,polyp,0.8773,0.8883,145.1,89.9,272.5,173.8,False
37,1,0,polyp,0.9111,0.8988,145.2,90.2,271.8,173.5,False
38,1,0,polyp,0.8917,0.8960,144.5,89.9,271.6,173.5,False
39,1,0,polyp,0.8857,0.8938,144.3,90.1,270.5,173.2,False
40,1,0,polyp,0.9157,0.8963,144.5,89.8,271.1,173.2,False
41,1,0,polyp,0.8841,0.8977,144.8,90.3,271.4,173.6,False
42,1,0,polyp,0.8791,0.8913,145.5,91.0,270.8,173.4,False
43,1,0,polyp,0.8985,0.8926,145.4,91.0,270.8,173.3,False
44,1,0,polyp,0.9005,0.8956,144.9,90.7,270.4,173.1,False
45,1,0,polyp,0.9076,0.8940,144.7,90.3,270.5,172.9,False
46,1,0,polyp,0.9174,0.9006,145.3,90.1,270.2,172.0,False
47,1,0,polyp,0.8998,0.9048,145.1,89.9,270.2,172.0,False
48,1,0,polyp,0.9166,0.9084,144.5,89.8,269.3,171.7,False
49,1,0,polyp,0.8859,0.9055,144.3,89.7,269.3,171.8,False
50,1,0,polyp,0.9017,0.9043,143.8,89.7,267.7,171.0,False
51,1,0,polyp,0.9153,0.9039,144.8,89.8,266.8,169.8,False
52,1,0,polyp,0.9116,0.9062,145.6,90.2,266.0,168.9,False
53,1,0,polyp,0.8998,0.9029,146.0,90.3,266.1,168.7,False
54,1,0,polyp,0.8807,0.9018,146.1,90.0,266.7,168.6,False
55,1,0,polyp,0.8936,0.9002,145.3,89.5,266.7,168.7,False
56,1,0,polyp,0.8734,0.8918,145.6,89.5,266.8,168.4,False
57,1,0,polyp,0.9066,0.8908,145.7,89.1,267.4,168.3,False
58,1,0,polyp,0.9170,0.8943,146.4,89.2,267.7,168.0,False
59,1,0,polyp,0.8940,0.8969,149.8,90.1,271.2,168.7,False
60,1,0,polyp,0.7152,0.7175,149.8,90.1,271.2,168.7,True
61,1,0,polyp,0.5722,0.5740,149.8,90.1,271.2,168.7,True
62,1,0,polyp,0.4577,0.4592,149.8,90.1,271.2,168.7,True
63,,,,,,,,,,False
64,,,,,,,,,,False
65,,,,,,,,,,False
66,,,,,,,,,,False
67,,,,,,,,,,False
68,,,,,,,,,,False
69,,,,,,,,,,False
70,,,,,,,,,,False
71,,,,,,,,,,False
72,,,,,,,,,,False
73,,,,,,,,,,False
74,,,,,,,,,,False
75,,,,,,,,,,False
76,,,,,,,,,,False
77,,,,,,,,,,False
78,,,,,,,,,,False
79,,,,,,,,,,False
80,,,,,,,,,,False
81,,,,,,,,,,False
82,,,,,,,,,,False
83,,,,,,,,,,False
84,,,,,,,,,,False
85,,,,,,,,,,False
86,,,,,,,,,,False
87,,,,,,,,,,False
88,2,0,polyp,0.8848,0.8848,185.9,94.1,302.0,172.2,False
