frame,track_id,class_id,class_name,conf_raw,conf_smooth,x1,y1,x2,y2,recovered
1,1,0,polyp,0.8945,0.8945,92.3,4.2,285.2,151.4,False
2,1,0,polyp,0.7767,0.8356,87.3,5.5,288.2,164.8,False
3,1,0,polyp,0.8814,0.8509,87.5,2.3,286.8,157.2,False
4,1,0,polyp,0.5290,0.7704,88.0,-0.9,284.1,143.4,False
5,1,0,polyp,0.5290,0.7221,88.2,-5.9,282.1,136.8,False
6,1,0,polyp,0.5290,0.6490,88.5,-10.9,280.1,130.1,False
7,1,0,polyp,0.5290,0.5995,88.7,-15.9,278.0,123.5,False
8,1,0,polyp,0.5790,0.5390,86.0,2.4,284.3,147.4,False
9,1,0,polyp,0.5790,0.5490,85.8,1.5,283.7,146.2,False
10,1,0,polyp,0.5790,0.5590,85.6,0.6,283.1,145.0,False
11,1,0,polyp,0.5790,0.5690,85.4,-0.3,282.4,143.8,False
12,1,0,polyp,0.4632,0.4552,85.4,-0.3,282.4,143.8,True
13,1,0,polyp,0.3706,0.3642,85.4,-0.3,282.4,143.8,True
14,2,0,polyp,0.6523,0.6523,95.1,2.5,284.9,116.0,False
14,1,0,polyp,0.2964,0.2913,85.4,-0.3,282.4,143.8,True
15,2,0,polyp,0.6115,0.6319,94.6,2.9,284.6,116.9,False
16,2,0,polyp,0.6115,0.6251,94.0,3.4,284.5,117.6,False
17,2,0,polyp,0.6771,0.6381,98.0,4.8,285.7,122.3,False
18,2,0,polyp,0.7772,0.6659,98.7,4.8,285.4,124.2,False
19,2,0,polyp,0.7772,0.6909,99.0,5.9,286.6,125.9,False
20,2,0,polyp,0.5270,0.6740,100.3,4.0,283.6,122.2,False
21,2,0,polyp,0.6250,0.6767,101.5,3.2,282.5,119.4,False
22,2,0,polyp,0.6250,0.6663,102.1,3.4,282.5,119.3,False
23,2,0,polyp,0.6250,0.6358,102.7,3.7,282.6,119.2,False
24,2,0,polyp,0.6452,0.6094,97.2,3.0,279.9,117.6,False
25,2,0,polyp,0.6452,0.6331,97.2,3.1,279.4,117.4,False
26,2,0,polyp,0.6452,0.6371,97.1,3.1,279.0,117.1,False
27,2,0,polyp,0.6452,0.6412,97.1,3.1,278.5,116.9,False
28,2,0,polyp,0.6963,0.6555,88.1,6.5,278.1,129.8,False
29,2,0,polyp,0.7020,0.6668,87.1,6.0,278.4,132.6,False
30,2,0,polyp,0.7020,0.6782,86.1,6.5,278.2,133.7,False
31,2,0,polyp,0.7020,0.6895,85.0,7.0,277.9,134.7,False
32,2,0,polyp,0.6249,0.6854,86.0,5.0,277.3,133.6,False
33,2,0,polyp,0.6304,0.6722,85.0,4.8,276.5,134.6,False
34,2,0,polyp,0.5515,0.6421,83.0,6.8,276.3,141.7,False
35,2,0,polyp,0.5515,0.6120,81.9,7.4,276.2,142.9,False
36,2,0,polyp,0.5515,0.5819,80.7,8.0,276.0,144.2,False
37,2,0,polyp,0.6556,0.5881,90.1,3.5,283.8,137.2,False
38,2,0,polyp,0.7461,0.6112,91.0,3.2,284.1,136.1,False
39,2,0,polyp,0.6842,0.6378,89.8,4.9,285.9,140.4,False
40,2,0,polyp,0.6842,0.6643,89.6,5.2,286.5,141.2,False
41,2,0,polyp,0.6842,0.6908,89.4,5.4,287.1,142.0,False
42,2,0,polyp,0.6842,0.6966,89.2,5.6,287.7,142.7,False
43,2,0,polyp,0.5473,0.5572,89.2,5.6,287.7,142.7,True
44,3,0,polyp,0.7567,0.7567,101.2,3.6,308.0,166.2,False
44,2,0,polyp,0.4379,0.4458,89.2,5.6,287.7,142.7,True
45,3,0,polyp,0.8598,0.8082,103.5,5.0,307.5,168.6,False
45,2,0,polyp,0.3503,0.3566,89.2,5.6,287.7,142.7,True
46,3,0,polyp,0.8914,0.8359,101.1,5.9,307.2,169.9,False
47,3,0,polyp,0.7755,0.8208,97.0,8.4,307.7,178.6,False
48,3,0,polyp,0.7682,0.8103,92.6,11.3,308.4,193.8,False
49,3,0,polyp,0.8750,0.8340,87.2,15.8,308.7,215.0,False
50,3,0,polyp,0.9047,0.8429,87.0,14.4,306.9,218.7,False
51,3,0,polyp,0.8753,0.8397,86.8,12.4,304.3,223.3,False
52,3,0,polyp,0.8020,0.8450,85.4,11.3,300.8,226.8,False
53,3,0,polyp,0.8910,0.8696,84.7,9.4,298.5,229.0,False
54,3,0,polyp,0.9472,0.8840,85.5,6.3,297.4,224.7,False
55,3,0,polyp,0.9039,0.8839,85.2,7.8,296.5,227.4,False
56,3,0,polyp,0.9386,0.8965,85.4,7.8,296.1,227.3,False
57,3,0,polyp,0.9449,0.9251,86.3,7.4,296.4,227.1,False
58,3,0,polyp,0.8642,0.9197,87.5,7.9,297.5,228.5,False
59,3,0,polyp,0.9166,0.9136,91.0,6.7,301.9,228.9,False
60,3,0,polyp,0.9091,0.9146,95.4,5.7,307.5,229.2,False
61,3,0,polyp,0.8512,0.8972,97.5,5.9,311.7,230.8,False
62,3,0,polyp,0.9172,0.8916,97.8,5.7,313.0,231.6,False
63,3,0,polyp,0.9083,0.9005,97.7,5.6,314.7,232.5,False
64,3,0,polyp,0.8848,0.8941,97.1,5.4,315.4,232.5,False
65,3,0,polyp,0.9197,0.8962,94.8,4.5,313.3,231.6,False
66,3,0,polyp,0.8559,0.8972,88.5,4.7,307.7,230.2,False
67,3,0,polyp,0.9062,0.8950,84.7,6.0,302.0,230.9,False
68,3,0,polyp,0.9390,0.9011,83.4,6.9,299.0,231.0,False
69,3,0,polyp,0.9310,0.9104,83.3,7.8,297.2,231.4,False
70,3,0,polyp,0.9088,0.9082,82.9,8.1,295.7,231.3,False
71,3,0,polyp,0.9448,0.9260,83.1,8.1,294.9,230.5,False
72,3,0,polyp,0.9498,0.9347,83.2,8.4,294.6,230.5,False
73,3,0,polyp,0.8912,0.9251,82.9,7.9,293.8,229.1,False
74,3,0,polyp,0.9431,0.9275,83.6,10.2,293.9,231.3,False
